Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2021/03/25 00:00:00;2021/03/25 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;54.0;53.95;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/26 00:00:00;2021/03/26 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;37.5;37.5;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/27 00:00:00;2021/03/27 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;15.5;15.525;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/28 00:00:00;2021/03/28 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;11.8;11.825;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/29 00:00:00;2021/03/29 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;91.5;91.45;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/30 00:00:00;2021/03/30 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;96.9;96.85;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/31 00:00:00;2021/03/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;94.9;94.925;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/04/01 00:00:00;2021/04/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;86.6;86.6;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/04/02 00:00:00;2021/04/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;29.3;29.275;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/04/03 00:00:00;2021/04/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;16.4;16.425;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/04/04 00:00:00;2021/04/04 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;39.0;39.0;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
